Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1386,1412,1326.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SB1326TV2RTB-ND,2SB1326TV2R,Rohm Semiconductor,TRANS PNP 20V 5A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","PNP","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","180 @ 500mA, 2V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1386,1412,1326.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SB1326TV2RCT-ND,2SB1326TV2R,Rohm Semiconductor,TRANS PNP 20V 5A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","180 @ 500mA, 2V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1767,1859_RevA.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1859TV2QTB-ND,2SD1859TV2Q,Rohm Semiconductor,TRANS NPN 80V 0.7A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","700mA","80V","400mV @ 50mA, 500mA","500nA (ICBO)","120 @ 100mA, 3V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1767,1859_RevA.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1859TV2QCT-ND,2SD1859TV2Q,Rohm Semiconductor,TRANS NPN 80V 0.7A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","700mA","80V","400mV @ 50mA, 500mA","500nA (ICBO)","120 @ 100mA, 3V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1767,1859_RevA.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1859TV2RTB-ND,2SD1859TV2R,Rohm Semiconductor,TRANS NPN 80V 0.7A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","700mA","80V","400mV @ 50mA, 500mA","500nA (ICBO)","180 @ 100mA, 3V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1767,1859_RevA.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1859TV2RCT-ND,2SD1859TV2R,Rohm Semiconductor,TRANS NPN 80V 0.7A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","700mA","80V","400mV @ 50mA, 500mA","500nA (ICBO)","180 @ 100mA, 3V","1W","120MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sd1898.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1863TV2QTB-ND,2SD1863TV2Q,Rohm Semiconductor,TRANS NPN 80V 1A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","1A","80V","400mV @ 20mA, 500mA","1µA (ICBO)","120 @ 500mA, 3V","1W","100MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sd1898.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1863TV2QCT-ND,2SD1863TV2Q,Rohm Semiconductor,TRANS NPN 80V 1A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","1A","80V","400mV @ 20mA, 500mA","1µA (ICBO)","120 @ 500mA, 3V","1W","100MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1864_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1864TV2QTB-ND,2SD1864TV2Q,Rohm Semiconductor,TRANS NPN 50V 3A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","3A","50V","1V @ 200mA, 2A","1µA (ICBO)","120 @ 500mA, 3V","1W","90MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1864_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1864TV2QCT-ND,2SD1864TV2Q,Rohm Semiconductor,TRANS NPN 50V 3A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","3A","50V","1V @ 200mA, 2A","1µA (ICBO)","120 @ 500mA, 3V","1W","90MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
